regex,rat,redos,rescue,revealer,saferegex,k
"&#x((?=.*[ABCDEF]))*((?=.*[0-9]))*.{2,5};",0,1,0,0,0,1
&\#x0*(0|1|2|3|4|5|6|7|8|B|C|E|F|10|11|12|13|14|15|16|17|18|19|1A|1B|1C|1D|1E|1F);,0,0,0,0,1,1
"( xmlns:.*=[,].*[,])|( xmlns=[,].*[,])",0,1,0,0,1,2
((&#[0-9]+|&[a-zA-Z]+[0-9]*?);),0,0,0,0,1,1
(((((0[1-9]|[12][0-9]|3[01])\/(0[13578]|1[02]))|((0[1-9]|[12][0-9]|30)\/(0[469]|11))|((0[1-9]|[1][0-9]|2[0-8]))\/02)\/([0-9]{3}[1-9]|[0-9]{2}[1-9][0-9]{1}|[0-9]{1}[1-9][0-9]{2}|[1-9][0-9]{3}) ((([0-1][0-9])|([2][0-3]))[:][0-5][0-9]$))|(29\/02\/(([0-9]{2})(0[48]|[2468][048]|[13579][26])|((0[48]|[2468][048]|[3579][26])00)) ((([0-1][0-9])|([2][0-3]))[:][0-5][0-9]$))),0,1,0,0,0,1
"((((http[s]?|ftp)[:]\/\/)([a-zA-Z0-9.-]+([:][a-zA-Z0-9.&%$-]+)*@)?[a-zA-Z][a-zA-Z0-9.-]+|[a-zA-Z][a-zA-Z0-9]+[.][a-zA-Z][a-zA-Z0-9.-]+)[.](com|edu|gov|mil|net|org|biz|pro|info|name|museum|ac|ad|ae|af|ag|ai|al|am|an|ao|aq|ar|as|at|au|aw|az|ax|ba|bb|bd|be|bf|bg|bh|bi|bj|bm|bn|bo|br|bs|bt|bv|bw|by|bz|ca|cc|cd|cf|cg|ch|ci|ck|cl|cm|cn|co|cr|cs|cu|cv|cx|cy|cz|de|dj|dk|dm|do|dz|ec|ee|eg|eh|er|es|et|eu|fi|fj|fk|fm|fo|fr|ga|gb|gd|ge|gf|gg|gh|gi|gl|gm|gn|gp|gq|gr|gs|gt|gu|gw|hk|hm|hn|hr|ht|hu|id|ie|il|im|in|io|iq|ir|is|it|je|jm|jo|jp|ke|kg|kh|ki|km|kn|kp|kr|kw|ky|kz|la|lb|lc|li|lk|lr|ls|lt|lu|lv|ly|ma|mc|md|mg|mh|mk|ml|mm|mn|mo|mp|mq|mr|ms|mt|mu|mv|mw|mx|my|mz|na|nc|ne|nf|ng|ni|nl|no|np|nr|nu|nz|om|pa|pe|pf|pg|ph|pk|pl|pm|pn|pr|ps|pt|pw|py|qa|re|ro|ru|rw|sa|sb|sc|sd|se|sg|sh|si|sj|sk|sl|sm|sn|so|sr|st|sv|sy|sz|tc|td|tf|tg|th|tj|tk|tl|tn|to|tp|tr|tt|tv|tw|tz|ua|ug|uk|um|us|uy|uz|va|vc|ve|vg|vi|vn|vu|wf|ws|ye|yt|yu|za|zm|zw)([:][0-9]+)*(\/[a-zA-Z0-9.,;?\\\\+&%$#=~_-]+)*)",0,1,0,0,0,1
"(((/(([a-zA-Z0-9_\-\%\~\+\&\;]{1,})+)*)*)|/$)?",0,0,0,0,1,1
(((0*[1-9]|[12][0-9]|3[01])([-./])(0*[13578]|10|12)([-./])(\d{4}))|((0*[1-9]|[12][0-9]|30)([-./])(0*[469]|11)([-./])(\d{4}))|((0*[1-9]|1[0-9]|2[0-8])([-./])(02|2)([-./])(\d{4}))|((29)(\.|-|/)(02|2)([-./])([02468][048]00))|((29)([-./])(02|2)([-./])([13579][26]00))|((29)([-./])(02|2)([-./])([0-9][0-9][0][48]))|((29)([-./])(02|2)([-./])([0-9][0-9][2468][048]))|((29)([-./])(02|2)([-./])([0-9][0-9][13579][26]))),0,0,0,0,1,1
(((0*[1-9]|[12][0-9]|3[01])([-.\/])(0*[13578]|10|12)([-.\/])(\d{4}))|((0*[1-9]|[12][0-9]|30)([-.\/])(0*[469]|11)([-.\/])(\d{4}))|((0*[1-9]|1[0-9]|2[0-8])([-.\/])(02|2)([-.\/])(\d{4}))|((29)(\.|-|\/)(02|2)([-.\/])([02468][048]00))|((29)([-.\/])(02|2)([-.\/])([13579][26]00))|((29)([-.\/])(02|2)([-.\/])([0-9][0-9][0][48]))|((29)([-.\/])(02|2)([-.\/])([0-9][0-9][2468][048]))|((29)([-.\/])(02|2)([-.\/])([0-9][0-9][13579][26]))),0,1,0,0,0,1
((([a-zA-Z]:)|(\\\\\\\\[^/\\\\:\*\?<>\|]+(\\\\[a-zA-Z]\$)?))\\\\([^/\\\\:\*\?<>\|]+\\\\)*[^/\\\\:\*\?<>\|]+(\.[^/\\\\:\*\?<>\|]+[^/\\\\:\*\?<>\|\s])?)|((([a-zA-Z]:)|(\\\\\\\\[^/\\\\:\*\?<>\|\s]+(\\\\[a-zA-Z]\$)?))\\\\([^/\\\\:\*\?<>\|\s]+\\\\)*[^/\\\\:\*\?<>\|\s]+(\.[a-zA-Z0-9]+)?),0,0,0,0,1,1
((([a-zA-Z]:)|(\\\\\\\\[^\/\\\\:\*\?<>\|]+(\\\\[a-zA-Z]\$)?))\\\\([^\/\\\\:\*\?<>\|]+\\\\)*[^\/\\\\:\*\?<>\|]+(\.[^\/\\\\:\*\?<>\|]+[^\/\\\\:\*\?<>\|\s])?)|((([a-zA-Z]:)|(\\\\\\\\[^\/\\\\:\*\?<>\|\s]+(\\\\[a-zA-Z]\$)?))\\\\([^\/\\\\:\*\?<>\|\s]+\\\\)*[^\/\\\\:\*\?<>\|\s]+(\.[a-zA-Z0-9]+)?),0,1,0,0,0,1
(((\\\\.)|[^\\\\])*),0,0,0,0,1,1
"(((^\s*)*\S+\s+)|(\S+)){1,5}",1,0,0,0,0,1
"(((file|gopher|news|nntp|telnet|http|ftp|https|ftps|sftp)://)|(www\.))+(([a-zA-Z0-9\._-]+\.[a-zA-Z]{2,6})|([0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}))(/[a-zA-Z0-9\&%_\./-~-]*)?",0,0,0,0,1,1
"(((file|gopher|news|nntp|telnet|http|ftp|https|ftps|sftp):\/\/)|(www\.))+(([a-zA-Z0-9\._-]+\.[a-zA-Z]{2,6})|([0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}))(\/[a-zA-Z0-9\&%_\.\/-~-]*)?",0,1,0,0,0,1
"(((ht|f)tp(s?):\/\/)|(([\w]{1,})\.[^ \[\]\(\)\n\r\t]+)|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})\/)([^ \[\]\(\),;<>\n\r\t]+)([^\. \[\]\(\),;<>\n\r\t])|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})",0,1,0,0,0,1
(((s*)(ftp)(s*)|(http)(s*)|mailto|news|file|webcal):(\S*))|((www.)(\S*)),0,1,0,0,1,2
((0)+(\.[1-9](\d)?))|((0)+(\.(\d)[1-9]+))|(([1-9]+(0)?)+(\.\d+)?)|(([1-9]+(0)?)+(\.\d+)?),0,1,0,0,1,2
((<body)|(<BODY))([^>]*)>,0,1,0,0,1,2
((?!(This|It|He|She|[MTWFS][a-z]+day|[JF][a-z]+ary|March|April|May|June|July|August|[SOND][a-z]+ber))(?:[A-Z]+\.\s?)*(?:(?:[a-zA-Z]+-?)?[A-Z][a-zA-Z]+)(?:(\b\s?((?:[a-zA-Z]+-?)?[A-Z][a-zA-Z]+|[A-Z]+\.|on|of|the|von|der|van|de|bin|and))*(?:\s*(?:[a-zA-Z]+-?)?[A-Z][a-zA-Z]+))?),0,1,0,0,0,1
"((?:\d+\.){1,5})",0,1,0,0,0,1
((?=[^147]*([147][^147]*[147][^147]*[147][^147]*)*$)[^258]*([258][^258]*[258][^258]*[258][^258]*)*)|((?=[^147]*([147][^147]*[147][^147]*[147][^147]*)*[147][^147]*$)[^258]*([258][^258]*[258][^258]*[258][^258]*)*[258][^258]*)|((?=[^147]*([147][^147]*[147][^147]*[147][^147]*)*[147][^147]*[147][^147]*$)[^258]*([258][^258]*[258][^258]*[258][^258]*)*[258][^258]*[258][^258]*),0,0,1,0,0,1
((A[FGIKLMNPRSUZ]S?X?|DAL?L?A?E?S?|DE|DE[LNRST]L?A?E?H?I?O?S?|DI[AE]?|DOS?|DU|EIT?N?E?|ELS?|EN|ETT?|HAI?|HE[NT]|HIN?A?I?N?R?|HOI|IL|IM|ISA|KA|KE|LAS|LES?|LH?IS?|LOS?|LO?U|MA?C|N[AIY]|O[IP]|SI|T[AEO]N?R?|U[MN][AEOS]?|VAN|VE[LR]|VO[MN]|Y[ENR]|ZU[MR]?) )?((LAS?|LOS?|DEN?R?|ZU) )?[A-Z0\/\.-]+( |$)(SR|JR|II+V?|VI+|[1-9][STRDH]+)?,0,1,0,0,0,1
"((X|x):-?(180(\.0+)?|[0-1]?[0-7]?[0-9](\.\d+)?))([ ]|,)*((Y|y):-?(90(\.0+)?|[0-8]?[0-9](\.\d+)?))",0,0,0,0,1,1
(([01][\.\- +]\(\d{3}\)[\.\- +]?)|([01][\.\- +]\d{3}[\.\- +])|(\(\d{3}\) ?)|(\d{3}[- \.]))?\d{3}[- \.]\d{4},0,1,0,0,0,1
"(([A-Za-z0-9_\\\\-]+\\\\.?)*)[A-Za-z0-9_\\\\-]+\\\\.[A-Za-z0-9_\\\\-]{2,6}",1,1,0,0,0,2
"(([\w]+:)?//)?(([\d\w]|%[a-fA-f\d]{2,2})+(:([\d\w]|%[a-fA-f\d]{2,2})+)?@)?([\d\w][-\d\w]{0,253}[\d\w]\.)+[\w]{2,4}(:[\d]+)?(/([-+_~.\d\w]|%[a-fA-f\d]{2,2})*)*(\?(&?([-+_~.\d\w]|%[a-fA-f\d]{2,2})=?)*)?(#([-+_~.\d\w]|%[a-fA-f\d]{2,2})*)?",0,0,1,1,1,3
